title,weight,rank,S_scale,S_score
Coleman wins 60m crown at Millrose Games after Lyles DQ,0.0183327867461217,1.0,1.0,20.0
"সাত্তার ভূঁইয়া জীবনের শেষে এসে বুঝতে পেরেছেন, বাংলাদেশের উন্নয়ন আওয়ামী লীগ দিয়েই হয়: আইনমন্ত্রী",0.0181893153472506,2.0,0.9908068082091069,19.81613616418214
নারীদের বিজ্ঞানে উৎকর্ষ লাভের সুযোগ দিতে বৈশ্বিক প্রচেষ্টার আহ্বান জানালেন প্রধানমন্ত্রী,0.016847319629942098,3.0,0.9048159827982639,18.096319655965278
নওগাঁয় বিএনপির পদযাত্রা ঘিরে সংঘর্ষের ঘটনায় ৩০ নেতা-কর্মীর নামে মামলা,0.016332325731777,4.0,0.871816808647707,17.436336172954142
"ভূমিকম্পে বিপর্যস্ত তুরস্কে শীতের কাপড়, খাদ্য ও ওষুধ পাঠাবে ডিএনসিসি",0.0161262700592959,5.0,0.8586134152771433,17.172268305542865
৫০ তালগাছে কীটনাশক প্রয়োগ: পরবর্তী শুনানি ও আদেশ ২৩ ফেব্রুয়ারি,0.015655888050820597,6.0,0.8284728293978346,16.569456587956694
Two PWs testify in actor Sohel Chowdhury murder case,0.015520844456305197,7.0,0.8198196645560596,16.396393291121193
"ভূমিকম্প: মৃতের সংখ্যা ২৮ হাজার ছাড়িয়েছে, তুরস্কে অস্থিরতায় উদ্ধার ব্যাহত",0.0151334562536712,8.0,0.7949970582919127,15.899941165838253
জ্ঞান অর্জনের জন্য প্রয়োজনে সুদূর চীনে যাও... যাবেন কীভাবে?,0.0151274365894906,9.0,0.7946113373205939,15.892226746411877
Cyprus rivals woo swing voters in presidential run-off,0.015033551390211,10.0,0.7885954717885443,15.771909435770885
রাষ্ট্রপতি পদের মনোনয়নপত্র নিয়ে নির্বাচন ভবনে আওয়ামী লীগের প্রতিনিধি দল,0.0149062737938068,11.0,0.7804399274526383,15.608798549052768
আওয়ামী লীগ দিশাহারা হয়ে বিশৃঙ্খলা করতে পাল্টা কর্মসূচি দিচ্ছে: বিএনপি,0.0147034698254703,12.0,0.7674448929611527,15.348897859223054
মোহাম্মদ সাহাবুদ্দিনকে ‘মন থেকে’ অভিনন্দন জানালেন জি এম কাদের,0.014072061612678101,13.0,0.7269862590855687,14.539725181711374
